journal_title,Knowledge and Information Systems
article_title,Mobile Apps identification based on network flows
keyword,"['Android security\xa0', 'Traffic analysis\xa0', 'App profiling\xa0', 'Flow-based classification\xa0']"
history,"['2018-06', '2017-09-30', '2016-08-26', '2016-08-26', '2017-09-21']"
abstract,"Abstract Network operators and mobile carriers are facing serious security challenges caused by an increasing number of services provided by smartphone Apps. For example, Android OS has more than 1 million Apps in stores. Hence, network administrators tend to adopt strict policies to secure their infrastructure. The aim of this study is to propose an efficient framework that has a classification component based on traffic analysis of Android Apps. The framework differs from other proposed studies by focusing on identifying Apps traffic from a network perspective without introducing any overhead on subscribers smartphones. Additionally, it involves a technique for pre-processing network flows generated by Apps to acquire a set of features that are used to build an identification model using machine learning algorithms. The classification model is built using classification ensembles. A group of chosen users contribute in training the classification model, which learns the normal behavior of selected Apps. Eventually, the model should be able to detect abnormal behavior of similar Apps across the network. A 93.78% classification accuracy is achieved with a low false positive rate under 0.5%. In addition, the framework is able to detect abnormal flows of unknown classes by implementing an outlier detection mechanism and reported a 94% accuracy."
journal_title,Knowledge and Information Systems
article_title,Graph-based review spammer group detection
keyword,"['Fraud detection\xa0', 'Review spam\xa0', 'Review spammer groups\xa0', 'Bi-connected graph\xa0', 'Opinion mining\xa0', 'Graph mining\xa0']"
history,"['2018-06', '2017-07-19', '2016-07-20', '2017-04-22', '2017-05-22']"
abstract,"Abstract Online product reviews nowadays are increasingly prevalent in E-commerce websites. People often refer to product reviews to evaluate the quality of a product before purchasing. However, there have been a large number of review spammers who often work collaboratively to promote or demote target products, which severely harm the review system. Much previous work exploits machine learning approaches to detect suspicious reviews/reviewers. In this paper, we introduce a top-down computing framework, namely GGSpam, to detect review spammer groups by exploiting the topological structure of the underlying reviewer graph which reveals the co-review collusiveness. A novel instantiation of GGSpam, namely GSBC, is designed by modeling spammer groups as bi-connected graphs. Given a reviewer graph, GSBC identifies all the bi-connected components whose spamicity scores exceed the given spam threshold. For large unsuspicious bi-connected graphs, the minimum cut algorithm is used to split the graph, and the smaller graphs are further processed recursively. A variety of group spam indicators are designed to measure the spamicity of a spammer group. Experimental study shows that the proposed approach is both effective and efficient and outperforms several state-of-the-art baselines, including graph based and non-graph based, by a large margin."
journal_title,Knowledge and Information Systems
article_title,Heterogeneous representation learning with separable structured sparsity regularization
keyword,"['Heterogeneous learning\xa0', 'Multi-task learning\xa0', 'Multi-view learning\xa0', 'Multi-label learning\xa0', 'Structured sparsity\xa0']"
history,"['2018-06', '2017-08-09', '2017-01-27', '2017-07-02', '2017-07-28']"
abstract,"Abstract Motivated by real applications, heterogeneous learning has emerged as an important research area, which aims to model the coexistence of multiple types of heterogeneity. In this paper, we propose a heterogeneous representation learning model with structured sparsity regularization (HERES) to learn from multiple types of heterogeneity. It aims to leverage the rich correlations (e.g., task relatedness, view consistency, and label correlation) and the prior knowledge (e.g., the soft-clustering of tasks) of heterogeneous data to improve learning performance. To this end, HERES integrates multi-task, multi-view, and multi-label learning into a principled framework based on representation learning to model the complex correlations and employs the structured sparsity to encode the prior knowledge of data. The objective is to simultaneously minimize the reconstruction loss of using the factor matrices to recover the heterogeneous data, and the structured sparsity imposed on the model. The resulting optimization problem is challenging due to the non-smoothness and non-separability of structured sparsity. We reformulate the problem by using the auxiliary function and prove that the reformulation is separable, which leads to an efficient algorithm family for solving structured sparsity penalized problems. Furthermore, we propose various HERES models based on different loss functions and subsume them into the weighted HERES, which is able to handle missing data. The experimental results in comparison with state-of-the-art methods demonstrate the effectiveness of the proposed approach."
journal_title,Knowledge and Information Systems
article_title,Reducing uncertainties in land cover change models using sensitivity analysis
keyword,"['LCC prediction models\xa0', 'Input parameters uncertainty\xa0', 'Model structure uncertainty\xa0', 'Belief function theory\xa0', 'Sensitivity analysis\xa0', 'Estimation\xa0']"
history,"['2018-06', '2017-09-16', '2017-01-26', '2017-06-16', '2017-08-19']"
